entity_id,legal_name,License Number,entity_status,entity_start,entity_end,license_type,business_category,phone_number,zip_code
BA-1023802-2022,420 KENT GARAGE LLC,2083662-DCA,Active,03/25/2019,11/16/2025,Premises,Garage & Parking Lot,+16465840409,11249
BA-1025672-2022,AEC HOMES LLC,2112630-DCA,Active,04/19/2023,02/28/2027,Premises,Home Improvement Contractor,+19173454022,11204
BA-1027875-2022,AWAN-1 CONSTRUCTION INC,2021594-DCA,Active,04/23/2015,02/28/2027,Premises,Home Improvement Contractor,+17184505030,11224
BA-1028905-2022,"AFFORDABLE AUTO SALES OF ARVERNE, INC.",2012956-DCA,Active,09/05/2014,07/31/2027,Premises,Secondhand Dealer - Auto,+17183181100,11692
BA-1031577-2022,535 CARLTON AVENUE PARKING CORP,2067409-DCA,Active,03/07/2018,11/09/2025,Premises,Garage & Parking Lot,+12127367171,11238
BA-1032271-2022,"AT&T MOBILITY SUPPLY, LLC",2046967-DCA,Active,01/03/2017,12/31/2026,Premises,Electronics Store,+16308572100,10472
BA-1039031-2022,CCMH TIMES SQUARE LLC,2128560-DCWP,Active,05/16/2025,09/30/2026,Premises,Hotel,+12127048859,10036
BA-1039079-2022,"B.C. PAINTING, CORP.",2119197-DCWP,Active,02/13/2024,02/28/2027,Premises,Home Improvement Contractor,+17188500076,11419
BA-1041046-2022,AMERICAN PETROLEUM SOLUTIONS LLC.,1350478-DCA,Active,04/16/2010,02/28/2026,Premises,Scale Dealer/Repairer,+17186858526,11208
BA-1041071-2022,5 star grocery and halal meat inc,2095823-DCA,Active,06/16/2020,03/31/2026,Premises,Stoop Line Stand,+17188725995,11235
BA-1042204-2022,"ESA Management, LLC",2128142-DCWP,Active,05/01/2025,09/30/2026,Premises,Hotel,+19803451600,11357
BA-1045258-2022,EDDIE'S INK TATTOO CORP.,1339931-DCA,Active,12/01/2009,07/31/2027,Premises,Secondhand Dealer - General,+17184551796,11385
BA-1046662-2022,Arch Telecom Inc,2122052-DCWP,Active,06/07/2024,12/31/2026,Premises,Electronics Store,+17143122724,11357
BA-1046671-2022,ARMCO CONSTRUCTION LLC,2083908-DCA,Active,03/29/2019,02/28/2027,Premises,Home Improvement Contractor,+13475230138,10472
BA-1046673-2022,492 SUPERMARKET CORP.,2054448-DCA,Active,06/14/2017,03/31/2026,Premises,Stoop Line Stand,+17188575579,11205
BA-1046674-2022,BANANA KING ON U CORP,2093234-DCA,Active,12/27/2019,03/31/2026,Premises,Stoop Line Stand,+17187870956,11229
BA-1046675-2022,ACES AUTO BODY & TOWING INC,2048713-DCA,Active,02/24/2017,04/30/2026,Premises,Tow Truck Company,+19173269581,11219
BA-1046686-2022,"ALVARDO, ANA",2046625-DCA,Active,12/19/2016,07/31/2027,Premises,Secondhand Dealer - General,+17186812830,10452
BA-1047534-2022,ECHO DRUGS INC.,2115856-DCWP,Active,08/17/2023,03/15/2027,Premises,Dealer In Products For The Disabled,+17187823030,11211
BA-1049989-2022,ATLANTIC GENERAL CONSTRUCTION INC,2082273-DCA,Active,02/14/2019,02/28/2027,Premises,Home Improvement Contractor,+13475951272,10473
BA-1050120-2022,BACKYARD FARM INC,2095866-DCA,Active,06/25/2020,03/31/2026,Premises,Stoop Line Stand,+17189021339,11374
BA-1050125-2022,BHAKTI 514 INC,2086792-DCA,Active,06/04/2019,03/31/2026,Premises,Stoop Line Stand,+17187686310,11215
BA-1050130-2022,A-RICH AUTO WORKS INC.,1133484-DCA,Active,03/29/2006,07/31/2027,Premises,Secondhand Dealer - General,+17183221154,11416
BA-1050134-2022,"42-15 81ST GROCERY & DELI, INC",2010673-DCA,Active,07/15/2014,03/31/2026,Premises,Stoop Line Stand,+17184245522,11373
BA-1050145-2022,A V COMPUTERS CORP.,1448374-DCA,Active,10/16/2012,06/30/2026,Premises,Electronic & Home Appliance Service Dealer,+12122890313,10029
BA-1050158-2022,ADL JEWELRY INC,2002544-DCA,Active,01/13/2014,07/31/2027,Premises,Secondhand Dealer - General,,11104
BA-1050160-2022,ATRIUM INDUSTRIES CORP,2106822-DCA,Active,06/16/2022,02/28/2027,Premises,Home Improvement Contractor,+19174235553,11379
BA-1051647-2022,"BIG CITY PAVING & CONSTRUCTION, INC.",1272546-DCA,Active,11/13/2007,02/28/2027,Premises,Home Improvement Contractor,+17189672700,10307
BA-1051665-2022,BROADWAY FAMOUS DELI CORP.,2032546-2-DCA,Active,01/20/2016,12/31/2026,Premises,Tobacco Retail Dealer,+12125442467,10034
BA-1051669-2022,101-04 METRO INC,2103519-1-DCA,Active,01/19/2022,11/30/2027,Premises,Electronic Cigarette Dealer,+19178816849,11375
BA-1051953-2022,"AWNING CITY WINDOWS & DOORS, INC.",1203093-DCA,Active,07/07/2005,02/28/2027,Premises,Home Improvement Contractor,+17184444905,11234
BA-1053601-2022,CYRIL GROUP INC.,2013559-DCA,Active,09/18/2014,02/28/2027,Premises,Home Improvement Contractor,+19178265989,10314
BA-1053906-2022,420 KENT GARAGE LLC,2096362-DCA,Active,09/09/2020,12/14/2025,Premises,Garage & Parking Lot,+16465840409,11249
BA-1053913-2022,BRISTOL GARAGE LLC,2105894-DCA,Active,05/10/2022,03/31/2027,Premises,Garage & Parking Lot,+16465840409,10065
BA-1053916-2022,ARI UNIVERSAL A LLC,2077701-DCA,Active,08/30/2018,12/31/2026,Premises,Electronics Store,+17186332202,11218
BA-1054037-2022,AAR CONSTRUCTION CORP,2068599-DCA,Active,03/29/2018,02/28/2027,Premises,Home Improvement Contractor,+16463859159,10032
BA-1054048-2022,351 BOWERY STREET INC,1415494-DCA,Active,12/12/2011,12/31/2026,Premises,Tobacco Retail Dealer,+15103647332,10003
BA-1057466-2022,El NOVILLO MEAT CORP,2124293-DCWP,Active,09/16/2024,03/31/2026,Premises,Stoop Line Stand,+17182045467,11356
BA-1058832-2022,3718 HENRY HUDSON PARKING LLC,2110557-DCA,Active,01/10/2023,03/31/2027,Premises,Garage & Parking Lot,+19172803803,10463
BA-1062084-2022,ABRAMS NYC LLC,2097649-DCA,Active,02/02/2021,07/31/2027,Premises,Secondhand Dealer - General,+16463610368,10036
BA-1062119-2022,"AYORA, CESAR",2059354-DCA,Active,10/13/2017,02/28/2027,Premises,Home Improvement Contractor,+16462281621,10032
BA-1062131-2022,201 PEARL PARKING CORP.,1320741-DCA,Active,06/02/2009,03/31/2027,Premises,Garage & Parking Lot,+12127367171,10038
BA-1062133-2022,BAZZ CONSTRUCTION INC.,1312158-DCA,Active,03/24/2009,02/28/2027,Premises,Home Improvement Contractor,+19173641076,11429
BA-1062545-2022,86 WIRELESS INC.,2042933-DCA,Active,08/26/2016,06/30/2026,Premises,Electronic & Home Appliance Service Dealer,+17182325371,11214
BA-1066353-2022,DRAGON TREASURES ANTIQUE LTD.,2090869-DCA,Active,09/25/2019,07/31/2027,Premises,Secondhand Dealer - General,+12128139089,10022
BA-1066840-2022,"BJS Renovations, Inc",2034801-DCA,Active,03/23/2016,02/28/2027,Premises,Home Improvement Contractor,+19175773497,10467
BA-1067375-2022,7 OCEAN GROUP INC,2097240-DCA,Active,12/17/2020,02/28/2027,Premises,Home Improvement Contractor,+17186990387,11370
BA-1068185-2022,GEM FINANCIAL SERVICES INC,2110531-DCA,Active,01/09/2023,12/31/2026,Premises,Electronics Store,+17182371166,10462
BA-1069425-2022,AHMED N MUTHANA,2075403-1-DCA,Active,07/11/2018,11/30/2027,Premises,Electronic Cigarette Dealer,+13474590463,11219
BA-1069447-2022,ANT'S TOWING CORP.,0978538-DCA,Active,04/03/2012,04/30/2026,Premises,Tow Truck Company,+17187316666,10457
BA-1070013-2022,CHURCH OF THE HOLY FAMILY,0511665-DCA,Active,12/31/1900,12/31/2026,Premises,Bingo Game Operator,+17188639156,10472
BA-1071096-2022,BATISTA GROCERY CORP.,1473394-DCA,Active,09/12/2013,12/31/2026,Premises,Tobacco Retail Dealer,+17185298700,11434
BA-1071099-2022,1 DANIEL'S TIRE SHOP CORP.,2083384-DCA,Active,03/19/2019,07/31/2027,Premises,Secondhand Dealer - General,+17187448453,11208
BA-1071131-2022,ASIDO SOLUTIONS LLC,1466301-DCA,Active,05/31/2013,02/28/2027,Premises,Home Improvement Contractor,+19175317991,10009
BA-1071303-2022,420 EAST 51ST PARKING PARTNERS LLC,1413026-DCA,Active,11/04/2011,03/31/2027,Premises,Garage & Parking Lot,+12128387565,10022
BA-1071307-2022,"B.N.P GENERAL CONSTRUCTION, INC.",2042653-DCA,Active,08/19/2016,02/28/2027,Premises,Home Improvement Contractor,+17186072652,11420
BA-1071326-2022,ac general contracting inc,2002497-DCA,Active,01/13/2014,02/28/2027,Premises,Home Improvement Contractor,+13474002452,11377
BA-1071333-2022,"ABC PARKING, CORP.",0921085-DCA,Active,05/23/1995,03/31/2027,Premises,Garage & Parking Lot,+17188025611,10462
BA-1071334-2022,ANTIQUES SINEVA CORP.,1104256-DCA,Active,03/25/2002,07/31/2027,Premises,Secondhand Dealer - General,+17189340046,11235
BA-1071338-2022,9729 KINGS HWY. APPAREL CORP.,2023105-DCA,Active,05/20/2015,12/31/2026,Premises,Electronics Store,+16464622825,11212
BA-1071349-2022,"91-08 STATION DELI, CORP.",1318193-DCA,Active,05/13/2009,03/31/2026,Premises,Stoop Line Stand,+17185231162,11435
BA-1071361-2022,ASPEN INTERIOR LLC,1340174-DCA,Active,10/01/2013,02/28/2027,Premises,Home Improvement Contractor,+19173614188,10011
BA-1071367-2022,APPLE INC,2022929-DCA,Active,05/15/2015,06/30/2026,Premises,Electronic & Home Appliance Service Dealer,+14089961010,11373
BA-1071749-2022,"AT&T MOBILITY SUPPLY, LLC",2047964-DCA,Active,02/02/2017,12/31/2026,Premises,Electronics Store,+15616273365,11214
BA-1071775-2022,"AT&T MOBILITY SUPPLY, LLC",2047139-DCA,Active,01/06/2017,12/31/2026,Premises,Electronics Store,+16308572100,10022
BA-1071782-2022,AFFORDABLE REMODELING & HANDYMAN SERVICES CORP.,2072204-DCA,Active,05/30/2018,02/28/2027,Premises,Home Improvement Contractor,+13472933018,11423
BA-1071787-2022,AKSHAR 3659 DELI AND GROCERY LLC,2067327-1-DCA,Active,03/06/2018,11/30/2027,Premises,Electronic Cigarette Dealer,+19175195389,10465
BA-1071796-2022,ALLIED USED AUTO PARTS & SALVAGE CORP.,0905379-DCA,Active,07/31/2005,07/31/2027,Premises,Secondhand Dealer - General,+17185427300,10474
BA-1072007-2022,345 EAST 94TH STREET GARAGE LLC,2095922-DCA,Active,07/06/2020,03/31/2027,Premises,Garage & Parking Lot,+19175595750,10128
BA-1072010-2022,ADEPT IMPROVEMENTS INC.,2016996-DCA,Active,01/02/2015,02/28/2027,Premises,Home Improvement Contractor,+17189786285,11413
BA-1072022-2022,310 EAST 48TH STREET GARAGE LLC,1155370-DCA,Active,11/05/2003,03/31/2027,Premises,Garage & Parking Lot,+12128887400,10017
BA-1072026-2022,A & P HOLDINGS USA LLC,2097890-DCA,Active,03/01/2021,12/31/2026,Premises,Electronics Store,+16312762703,11103
BA-1072032-2022,AAA NYC EMPLOYMENT AGENCY CORPORATION,2103248-DCA,Active,12/28/2021,05/01/2026,Premises,Employment Agency,+12122444423,10001
BA-1072143-2022,"AT&T MOBILITY SUPPLY, LLC",2046963-DCA,Active,01/03/2017,12/31/2026,Premises,Electronics Store,+16308572100,10001
BA-1072146-2022,"460 W ENTERPRISES, INC.",2074804-1-DCA,Active,06/29/2018,12/31/2027,Premises,Tobacco Retail Dealer,+12122452791,10019
BA-1072151-2022,BAYVIEW AUTO WRECKERS INC.,0739523-DCA,Active,06/10/2003,07/31/2027,Premises,Secondhand Dealer - General,+17182736060,10303
BA-1072154-2022,ANGAMARCA INC.,2100407-DCA,Active,07/26/2021,02/28/2027,Premises,Home Improvement Contractor,+13479351721,11373
BA-1072158-2022,ARTCURIAL CONSTRUCTION INC.,1245723-DCA,Active,12/29/2006,02/28/2027,Premises,Home Improvement Contractor,+12122060334,10014
BA-1072159-2022,AMOROS JEWELERS CORP,2104334-DCA,Active,03/08/2022,07/31/2027,Premises,Secondhand Dealer - General,+12125684837,10033
BA-1072173-2022,"BLASONE, CHARLES",0894103-DCA,Active,03/30/2003,02/28/2027,Premises,Home Improvement Contractor,+19175595952,10465
BA-1072177-2022,"ALL ZONE CONSTRUCTION, INC.",2047974-DCA,Active,02/02/2017,02/28/2027,Premises,Home Improvement Contractor,+19174403697,11420
BA-1072324-2022,400 GARAGE CORP.,1146406-DCA,Active,07/25/2003,03/31/2027,Premises,Garage & Parking Lot,+12126501683,10028
BA-1072348-2022,"BELIDA ASSOCIATES, INC.",1295731-DCA,Active,08/14/2008,02/28/2027,Premises,Home Improvement Contractor,+17187475500,11357
BA-1072351-2022,3-R'S LANDSCAPING SERVICE INC.,1384577-DCA,Active,03/10/2011,02/28/2027,Premises,Home Improvement Contractor,+13477893252,11208
BA-1072366-2022,BCKS LTD,2026591-2-DCA,Active,08/04/2015,12/31/2026,Premises,Tobacco Retail Dealer,+12124480444,10016
BA-1072440-2022,BHARAT MECHANICAL CORP.,2092406-DCA,Active,11/21/2019,02/28/2027,Premises,Home Improvement Contractor,+19145572081,11040
BA-1072464-2022,AVENUE CIGAR LOUNGE LLC,2090400-2-DCA,Active,09/10/2019,12/31/2026,Premises,Tobacco Retail Dealer,+17188245307,10461
BA-1072616-2022,BAYSIDE BUILDERS INC.,1221803-DCA,Active,03/24/2006,02/28/2027,Premises,Home Improvement Contractor,+17186313258,11361
BA-1072721-2022,150 EAST 58TH GARAGE LLC,2097643-DCA,Active,02/02/2021,03/31/2027,Premises,Garage & Parking Lot,+12015871000,10022
BA-1072750-2022,16TH AVENUE GROCERY INC.,0887270-DCA,Active,03/18/1994,03/31/2026,Premises,Stoop Line Stand,+17188517629,11204
BA-1072753-2022,AMERICA JEWELRY REPAIR INC.,1383472-DCA,Active,02/25/2011,04/30/2026,Premises,Pawnbroker,+12123699352,10029
BA-1072767-2022,258-262 LAFAYETTE LLC,1248479-DCA,Active,02/14/2011,03/31/2027,Premises,Garage & Parking Lot,+16025316890,10012
BA-1072789-2022,"A TO Z ON 8TH, INC.",1470644-DCA,Active,08/08/2013,12/31/2026,Premises,Tobacco Retail Dealer,+12129563400,10036
BA-1072798-2022,ASM MECHANICAL COMPANY INC,2017490-DCA,Active,01/22/2015,02/28/2027,Premises,Home Improvement Contractor,+13476924777,10314
BA-1072906-2022,"ADVANCE AUTO & BODY WORKS, INC.",2045826-DCA,Active,11/22/2016,07/31/2027,Premises,Secondhand Dealer - General,+16462759990,11101
BA-1073031-2022,AVASIUM PROPERTIES INC,2013012-DCA,Active,09/05/2014,02/28/2027,Premises,Home Improvement Contractor,+19172574779,10469
BA-1073034-2022,ARI GROUP INC.,1191367-DCA,Active,07/10/2007,02/28/2027,Premises,Home Improvement Contractor,+12125025353,10001
BA-1073037-2022,2300 DELI CORP.,2046289-1-DCA,Active,12/08/2016,12/31/2027,Premises,Tobacco Retail Dealer,+17185617598,10458
BA-1073049-2022,"1296 RIVERA GROCERY, INC.",1381976-DCA,Active,02/04/2011,12/31/2026,Premises,Tobacco Retail Dealer,+17183589482,10452
BA-1073052-2022,BOLLA OPERATING CORP.,2070331-1-DCA,Active,05/01/2018,11/30/2027,Premises,Electronic Cigarette Dealer,,11208
BA-1073197-2022,"Allstar DME, INC",2097381-DCA,Active,01/04/2021,03/15/2027,Premises,Dealer In Products For The Disabled,+19292835542,11218
BA-1073204-2022,"86TH STREET GROCERY & SNACKS, INC",2068701-1-DCA,Active,04/02/2018,11/30/2027,Premises,Electronic Cigarette Dealer,+17187146689,11214
BA-1073209-2022,200 WEST GARAGE CORP.,1220798-DCA,Active,03/10/2006,03/31/2027,Premises,Garage & Parking Lot,+12127367171,10001
BA-1073214-2022,160 PARKING CORP.,1036915-DCA,Active,06/08/2000,03/31/2027,Premises,Garage & Parking Lot,+12127367171,10021
BA-1073231-2022,ADEN 1 DELI GROCERY CORP,2023709-2-DCA,Active,06/02/2015,12/31/2026,Premises,Tobacco Retail Dealer,+16462559065,10469
BA-1073354-2022,FRUITS AND VEGETABLES BROTHERS INC,2124544-DCWP,Active,09/30/2024,03/31/2026,Premises,Stoop Line Stand,+17183392449,11223
BA-1073441-2022,518 EAST 138 STREET INC,2077797-DCA,Active,09/04/2018,12/31/2026,Premises,Electronics Store,+13473804306,10454
BA-1073668-2022,ALLEGIANCE TRUCKS NEW YORK CITY LLC,2103086-DCA,Active,12/14/2021,07/31/2027,Premises,Secondhand Dealer - Auto,+13364029380,11236
BA-1073710-2022,ALTRECE MECHANICAL CORPORATION,1134533-DCA,Active,03/25/2003,02/28/2027,Premises,Home Improvement Contractor,+15168518363,11413
BA-1073722-2022,508A WILLIS AVE INC,2004404-DCA,Active,03/07/2014,12/31/2026,Premises,Electronics Store,+13473804306,10455
BA-1073777-2022,BROOKLYN LANDSCAPING & SPRINKLER SYSTEM CORP.,2012280-DCA,Active,08/21/2014,02/28/2027,Premises,Home Improvement Contractor,+13476929394,11223
BA-1073784-2022,90-47 DELI GROCERY CORP,2126414-1-DCWP,Active,01/21/2025,12/31/2026,Premises,Tobacco Retail Dealer,+13478097088,11435
BA-1073793-2022,AO XIN ZHOU SUPERMARKET INC,2069508-DCA,Active,04/16/2018,03/31/2026,Premises,Stoop Line Stand,+17188433471,11417
BA-1073803-2022,BRIGHTON FOOD GROUP INC,2069663-DCA,Active,04/18/2018,03/31/2026,Premises,Stoop Line Stand,+17187445036,11235
BA-1073805-2022,"AGUIRRE, JESUS.",1004323-DCA,Active,03/25/1999,02/28/2027,Premises,Home Improvement Contractor,+19174076758,11370
BA-1073809-2022,169 LUDLOW PARKING LLC,2061663-DCA,Active,11/27/2017,03/31/2027,Premises,Garage & Parking Lot,+12122624771,10002
BA-1074315-2022,BLESSING FOOD CORP.,1212144-DCA,Active,10/07/2005,12/31/2026,Premises,Tobacco Retail Dealer,+17182409808,11212
BA-1074320-2022,BITE DELIGHT DELI GROCERY CORP,2097711-2-DCA,Active,02/11/2021,12/31/2026,Premises,Tobacco Retail Dealer,+16469911096,10019
BA-1074329-2022,117 LEXINGTON INC,2073343-1-DCA,Active,06/13/2018,11/30/2027,Premises,Electronic Cigarette Dealer,+19176756916,10035
BA-1074896-2022,"ALMONTE, BENITO",1338212-DCA,Active,11/09/2009,07/31/2027,Premises,Secondhand Dealer - General,+17186819680,10452
BA-1074937-2022,AVALDEZ MASONRY CORP,2101897-DCA,Active,10/01/2021,02/28/2027,Premises,Home Improvement Contractor,+13472429401,11368
BA-1074952-2022,ALAN GRABOYES,1223644-DCA,Active,04/13/2006,07/31/2027,Premises,Secondhand Dealer - General,+15169033155,10036
BA-1074955-2022,"ARONOV, SERGEY",1251220-DCA,Active,04/03/2007,07/31/2027,Premises,Secondhand Dealer - General,+16466924119,10017
BA-1074969-2022,ARONS FRUIT EMPORIUM INC.,1223195-DCA,Active,04/10/2006,03/31/2026,Premises,Stoop Line Stand,+17188514900,11219
BA-1074972-2022,200 WEST 67TH STREET GARAGE LLC,2100664-DCA,Active,08/05/2021,03/31/2027,Premises,Garage & Parking Lot,+16465840409,10023
BA-1075007-2022,"ALI, ASGHAR",1197419-DCA,Active,05/20/2005,02/28/2027,Premises,Home Improvement Contractor,+17185153523,10469
BA-1075268-2022,2965 GAS CORP.,1437383-DCA,Active,07/12/2012,12/31/2027,Premises,Tobacco Retail Dealer,+17185313166,11223
BA-1075296-2022,ASG Medical Suppplies Corp,2095957-DCA,Active,07/15/2020,03/15/2027,Premises,Dealer In Products For The Disabled,+12016809483,10019
BA-1075307-2022,"1239 HYLAN BLVD AUTO, LLC",2097913-DCA,Active,03/03/2021,07/31/2027,Premises,Secondhand Dealer - Auto,+17189790934,10305
BA-1075311-2022,1025 FIFTH GARAGE CORP.,1025779-DCA,Active,01/10/2000,03/31/2027,Premises,Garage & Parking Lot,+12128610510,10028
BA-1075331-2022,1699 NEW YORK AVE PARKING LLC,2098961-DCA,Active,05/27/2021,03/31/2027,Premises,Garage & Parking Lot,+13478663357,11210
BA-1075339-2022,B. J. CONSTRUCTION OF NEW YORK INC,1158525-DCA,Active,01/15/2004,02/28/2027,Premises,Home Improvement Contractor,+13472191022,11432
BA-1075343-2022,AMBALA SERVICE STATION INC,2080228-1-DCA,Active,11/27/2018,12/31/2027,Premises,Tobacco Retail Dealer,+13472728646,11416
BA-1075351-2022,ANTHONY L MAGNAVITO HOME IMPROVEMENT CONTRACTOR LLC,2023794-DCA,Active,06/03/2015,02/28/2027,Premises,Home Improvement Contractor,+17188100309,10308
BA-1075711-2022,A & G DESIGN CORP.,1361826-DCA,Active,07/08/2010,02/28/2027,Premises,Home Improvement Contractor,+13478060080,11204
BA-1075713-2022,2676 7TH AVE GROCERY INC.,1416528-DCA,Active,01/06/2012,12/31/2026,Premises,Tobacco Retail Dealer,+16465481029,10039
BA-1075932-2022,72 LUCKY LOTTO INC.,1307369-DCA,Active,01/12/2009,12/31/2027,Premises,Tobacco Retail Dealer,+17187455609,11209
BA-1075934-2022,ATLANTIC SURGICAL SUPPLY CORP,1038093-DCA,Active,06/22/2000,03/15/2027,Premises,Dealer In Products For The Disabled,+17182365354,11229
BA-1075946-2022,ASTRO GAME NYC INC,2092318-DCA,Active,11/19/2019,07/31/2027,Premises,Secondhand Dealer - General,+19175222020,10033
BA-1075951-2022,"BLAST AUTO REPAIR & LUBE, INC.",1037111-DCA,Active,06/12/2000,07/31/2027,Premises,Secondhand Dealer - General,+17184490953,11224
BA-1075960-2022,BROOKLYN SOLARWORKS LLC,2023390-DCA,Active,05/27/2015,02/28/2027,Premises,Home Improvement Contractor,+19739087410,11215
BA-1075962-2022,ALL GOOD GROUP LLC,2087633-DCA,Active,06/26/2019,02/28/2027,Premises,Home Improvement Contractor,+13476051342,11358
BA-1075971-2022,"BAYLON, ABEL",1432007-DCA,Active,05/30/2012,02/28/2027,Premises,Home Improvement Contractor,+19176289746,11427
BA-1076021-2022,BANNIE BUILDERS INC,2020642-DCA,Active,04/07/2015,02/28/2027,Premises,Home Improvement Contractor,+13476849246,11419
BA-1076025-2022,ABDUL CONSTRUCTION & PAINTING CORP.,1251456-DCA,Active,04/05/2007,02/28/2027,Premises,Home Improvement Contractor,+17184383012,11218
BA-1076111-2022,BLUESTONE CONSTRUCTION GROUP INC,2091146-DCA,Active,10/04/2019,02/28/2027,Premises,Home Improvement Contractor,+16467072047,11235
BA-1076119-2022,ASTORIA AUTO CENTER INC.,2056906-2-DCA,Active,08/10/2017,12/31/2026,Premises,Tobacco Retail Dealer,+17188644011,11103
BA-1076121-2022,ALKEIS CONSTRUCTION CORP,2102547-DCA,Active,11/10/2021,02/28/2027,Premises,Home Improvement Contractor,+13473573673,11419
BA-1076122-2022,"47 ROCKEFELLER, INC.",2062512-2-DCA,Active,12/05/2017,12/31/2026,Premises,Tobacco Retail Dealer,+17186139964,10036
BA-1076124-2022,ADD PARK INC,2105023-DCA,Active,04/05/2022,03/31/2027,Premises,Garage & Parking Lot,+19174705093,10459
BA-1076259-2022,5BS Construction Corp.,2008742-DCA,Active,05/28/2014,02/28/2027,Premises,Home Improvement Contractor,+17187955666,11234
BA-1076267-2022,"AT&T MOBILITY SUPPLY, LLC",2049673-DCA,Active,03/17/2017,07/31/2027,Premises,Secondhand Dealer - General,+16308572100,11229
BA-1076274-2022,BASE CONCEPT HVAC & GENERAL CONSTRUCTION INC,1452785-DCA,Active,12/26/2012,02/28/2027,Premises,Home Improvement Contractor,+17189255830,11369
BA-1076284-2022,AVENUE A DELI & FOOD INC.,2017062-1-DCA,Active,01/06/2015,12/31/2027,Premises,Tobacco Retail Dealer,+12125390151,10009
BA-1076289-2022,"BAILEY, HOWARD",0901440-DCA,Active,11/27/2002,02/28/2027,Premises,Home Improvement Contractor,+19173486170,10470
BA-1076372-2022,ALL SERVICES CONSTRUCTION NY INC,2088955-DCA,Active,07/31/2019,02/28/2027,Premises,Home Improvement Contractor,+16467445610,11362
BA-1076558-2022,"BETTER THAN NEW CONTRACTING, INC.",0853585-DCA,Active,12/11/2002,02/28/2027,Premises,Home Improvement Contractor,+17187675176,11357
BA-1076674-2022,BARTELLINO CONSTRUCTION CORP.,1248080-DCA,Active,02/09/2007,02/28/2027,Premises,Home Improvement Contractor,+17187463881,11357
BA-1076678-2022,4192 AKRAM DELI & GROCERY CORP.,1458906-DCA,Active,03/04/2013,12/31/2026,Premises,Tobacco Retail Dealer,+17188820226,10466
BA-1076683-2022,BOLLA OPERATING CORP.,2097461-1-DCA,Active,01/08/2021,12/31/2027,Premises,Tobacco Retail Dealer,+15165126125,11435
BA-1076688-2022,793 WYCKOFF DELI CORP,2064283-2-DCA,Active,01/02/2018,12/31/2026,Premises,Tobacco Retail Dealer,+17183225583,11385
BA-1076712-2022,A & L DELI MEAT MARKET CORP.,2049714-2-DCA,Active,03/20/2017,12/31/2026,Premises,Tobacco Retail Dealer,+19177712059,11368
BA-1076713-2022,BEN'S BARBER SHOP INC.,1363359-DCA,Active,07/20/2010,07/31/2027,Premises,Secondhand Dealer - General,+17188500668,11418
BA-1076717-2022,"ALLIANCE PRESCRIPTION SERVICES, INC.",1394526-DCA,Active,06/15/2011,03/15/2027,Premises,Dealer In Products For The Disabled,+17185522278,10452
BA-1076869-2022,7TH AVE CONVENIENCE INC.,2068329-1-DCA,Active,03/26/2018,11/30/2027,Premises,Electronic Cigarette Dealer,+16466528175,10011
BA-1076925-2022,ARB PARK INC,2104197-DCA,Active,03/02/2022,03/31/2027,Premises,Garage & Parking Lot,+13476778005,11420
